Color,Name,Count,Distance,Distribution,Tech
#000000 ,Null,1,0,0.02,
#ff34ff ,3300:453,9,106,0.2,4G
#ff4a46 ,3300:454,28,404,0.62,4G
#008941 ,3300:456,136,1952,3.02,4G
#006fa6 ,3300:302,75,1046,1.67,4G
#a30059 ,3300:411,59,800,1.31,4G
#7a4900 ,3300:413,1,11,0.02,4G
#0000a6 ,3102:413,3,23,0.07,4G
#b79762 ,3102:411,15,193,0.33,4G
#004d43 ,3102:302,2,29,0.04,4G
#8fb0ff ,3102:456,4,48,0.09,4G
#997d87 ,3102:412,2,25,0.04,4G
#5a0007 ,3102:454,3,32,0.07,4G
#809693 ,3102:290,23,306,0.51,4G
#1b4400 ,3102:288,22,288,0.49,4G
#4fc601 ,3300:288,31,423,0.69,4G
#3b5dff ,3300:290,67,813,1.49,4G
#4a3b53 ,3300:412,11,164,0.24,4G
#ff2f80 ,3300:455,52,798,1.16,4G
#61615a ,3300:50,55,683,1.22,4G
#ba0900 ,3300:301,129,1754,2.87,4G
#6b7900 ,3300:61,43,585,0.96,4G
#00c2a0 ,3300:289,66,921,1.47,4G
#ffaa92 ,3300:344,7,94,0.16,4G
#ff90c9 ,3300:438,56,719,1.24,4G
#b903aa ,3300:418,50,671,1.11,4G
#d16100 ,3300:440,71,956,1.58,4G
#000035 ,3300:419,84,1090,1.87,4G
#7b4f4b ,3300:483,265,3457,5.89,4G
#a1c299 ,3300:132,88,1132,1.96,4G
#300018 ,3300:59,121,1592,2.69,4G
#0aa6d8 ,3300:58,36,516,0.8,4G
#013349 ,1423:58,17,249,0.38,4G
#00846f ,3102:58,13,181,0.29,4G
#372101 ,3102:59,8,100,0.18,4G
#ffb500 ,3102:57,2,36,0.04,4G
#a079bf ,3102:417,29,377,0.64,4G
#cc0744 ,3102:419,11,146,0.24,4G
#c0b9b2 ,1423:418,34,452,0.76,4G
#c2ff99 ,1423:438,32,441,0.71,4G
#001e09 ,1423:439,19,247,0.42,4G
#00489c ,3300:375,111,1415,2.47,4G
#6f0062 ,3300:377,28,368,0.62,4G
#0cbd66 ,3300:439,6,91,0.13,4G
#eec3ff ,3300:342,116,1501,2.58,4G
#456d75 ,3300:376,111,1509,2.47,4G
#b77b68 ,3300:485,123,1642,2.73,4G
#7a87a1 ,1423:485,7,97,0.16,4G
#788d66 ,550:484,15,192,0.33,4G
#885578 ,3102:484,2,31,0.04,4G
#fad09f ,3102:483,19,273,0.42,4G
#ff8a9a ,550:375,14,172,0.31,4G
#d157a0 ,550:439,3,35,0.07,4G
#bec459 ,3300:417,105,1408,2.33,4G
#456648 ,3300:484,47,646,1.04,4G
#0086ed ,3300:189,85,1111,1.89,4G
#886f4c ,1423:440,16,231,0.36,4G
#34362d ,1423:455,14,183,0.31,4G
#b4a8bd ,1423:375,20,244,0.44,4G
#00a6aa ,1423:301,9,105,0.2,4G
#452c2c ,1423:456,45,582,1,4G
#636375 ,3102:418,10,121,0.22,4G
#a3c8c9 ,1423:419,1,13,0.02,4G
#ff913f ,3300:133,83,1108,1.85,4G
#938a81 ,3300:57,43,526,0.96,4G
#575329 ,3102:289,40,566,0.89,4G
#00fecf ,1423:290,1,10,0.02,4G
#b05b6f ,1423:289,13,150,0.29,4G
#8cd0ff ,1423:61,10,123,0.22,4G
#3b9700 ,1423:50,1,10,0.02,4G
#04f757 ,3300:137,1,10,0.02,4G
#c8a1a1 ,3300:207,1,10,0.02,4G
#1e6e00 ,3102:132,13,149,0.29,4G
#7900d7 ,3300:300,97,1329,2.16,4G
#a77500 ,3300:191,25,274,0.56,4G
#6367a9 ,3300:343,22,315,0.49,4G
#a05837 ,3300:445,51,699,1.13,4G
#6b002c ,3300:446,41,519,0.91,4G
#772600 ,3300:222,64,1037,1.42,4G
#d790ff ,3300:437,64,1068,1.42,4G
#9b9700 ,3300:317,26,384,0.58,4G
#549e79 ,3300:315,139,1818,3.09,4G
#fff69f ,3300:218,28,387,0.62,4G
#201625 ,3300:316,57,799,1.27,4G
#72418f ,3300:216,20,259,0.44,4G
#bc23ff ,3300:125,9,115,0.2,4G
#99adc0 ,3300:217,125,1616,2.78,4G
#3a2465 ,3300:98,135,1749,3,4G
#922329 ,550:98,7,106,0.16,4G
#5b4534 ,550:133,16,205,0.36,4G
#fde8dc ,550:485,1,15,0.02,4G
#404e55 ,1423:216,1,16,0.02,4G
#0089a3 ,1423:96,5,59,0.11,4G
#cb7e98 ,1423:189,17,205,0.38,4G
#a4e804 ,1423:376,17,219,0.38,4G
#324e72 ,3300:96,72,974,1.6,4G
#6a3a4c ,3300:97,141,1880,3.13,4G
#83ab58 ,3300:190,49,599,1.09,4G
#001c1e ,3300:444,145,1854,3.22,4G
#d1f7ce ,1423:377,1,18,0.02,4G
#004b28 ,1423:191,48,621,1.07,4G
#c8d0f6 ,1423:190,5,67,0.11,4G
#a3a489 ,3102:190,26,338,0.58,4G
#806c66 ,3102:191,36,449,0.8,4G
#222800 ,1423:343,2,30,0.04,4G
#bf5650 ,1423:342,23,298,0.51,4G
#e83000 ,1423:445,11,144,0.24,4G
#66796d ,3102:445,39,513,0.87,4G
#da007c ,3102:343,5,64,0.11,4G
#ff1a59 ,3102:444,26,379,0.58,4G
#8adbb4 ,3102:446,9,121,0.2,4G
