Count,Timestamp,T,Band,ARFCN,PCI,PLMN Id,RSRP,RSRQ,RSSI,SINR,Info
2732,2022-02-24 14:59:11.187,Band 7 (IMT-E 2600),3300,483,43211,#ffff00 -91.52    Fair        ,#00d228 -11.71    Good        ,#00703c -63.49    Excellent   ,#ffffff 0,,
1471,2022-02-24 17:28:37.123,Band 7 (IMT-E 2600),3300,97,43211,#00a032 -83.64    Very Good   ,#00d228 -11.24    Good        ,#00703c -55.95    Excellent   ,#ffffff 0,,
1407,2022-02-24 17:28:29.312,Band 7 (IMT-E 2600),3300,315,43211,#00a032 -83.48    Very Good   ,#00d228 -11.13    Good        ,#00703c -55.44    Excellent   ,#ffffff 0,,
1398,2022-02-24 18:03:57.305,Band 7 (IMT-E 2600),3300,444,43211,#00a032 -82.37    Very Good   ,#00d228 -10.33    Good        ,#00703c -54.78    Excellent   ,#ffffff 0,,
1354,2022-02-24 16:47:09.082,Band 7 (IMT-E 2600),3300,98,43211,#00a032 -82.69    Very Good   ,#00d228 -10.72    Good        ,#00703c -55.9     Excellent   ,#ffffff 0,,
1339,2022-02-24 17:20:49.288,Band 7 (IMT-E 2600),3300,485,43211,#00a032 -80.92    Very Good   ,#00d228 -10.84    Good        ,#00703c -53.63    Excellent   ,#ffffff 0,,
1286,2022-02-24 14:55:05.320,Band 7 (IMT-E 2600),3300,456,43211,#00a032 -83.62    Very Good   ,#00d228 -11.45    Good        ,#00703c -56.19    Excellent   ,#ffffff 0,,
1279,2022-02-24 14:51:23.331,Band 7 (IMT-E 2600),3300,59,43211,#00d228 -89.25    Good        ,#00d228 -11.53    Good        ,#00703c -61.35    Excellent   ,#ffffff 0,,
1277,2022-02-24 14:56:47.173,Band 7 (IMT-E 2600),3300,301,43211,#00a032 -83.93    Very Good   ,#00d228 -10.76    Good        ,#00703c -57.09    Excellent   ,#ffffff 0,,
1271,2022-02-24 16:42:03.230,Band 7 (IMT-E 2600),3300,217,43211,#00d228 -85.58    Good        ,#00d228 -11.39    Good        ,#00703c -57.67    Excellent   ,#ffffff 0,,
1173,2022-02-24 17:45:55.218,Band 7 (IMT-E 2600),3300,342,43211,#00a032 -80.32    Very Good   ,#00d228 -10.82    Good        ,#00703c -52.89    Excellent   ,#ffffff 0,,
1157,2022-02-24 17:31:37.207,Band 7 (IMT-E 2600),3300,376,43211,#00a032 -83.61    Very Good   ,#00d228 -11.79    Good        ,#00703c -55.34    Excellent   ,#ffffff 0,,
1122,2022-02-24 14:42:11.366,Band 7 (IMT-E 2600),3300,375,43211,#00d228 -87.33    Good        ,#00d228 -11.73    Good        ,#00703c -59.24    Excellent   ,#ffffff 0,,
1090,2022-02-24 14:57:21.177,Band 7 (IMT-E 2600),3300,417,43211,#00d228 -85.15    Good        ,#00d228 -11.2     Good        ,#00703c -57.4     Excellent   ,#ffffff 0,,
