1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
886,6.9717133824308E+016,2304,,1,4,-1,21300,3300,96,20,20,43211,45214,0,23769089,45881,6.97171334171197E+016,
885,6.97171314188222E+016,2304,,1,4,-1,21300,3300,96,20,20,43211,45214,0,23769089,255303,6.97171291179581E+016,
884,6.97171180332777E+016,2304,,1,4,-1,21300,3300,189,20,20,43211,45214,0,23370243,31900,6.97171174807306E+016,
883,6.97171163608515E+016,2304,,1,4,-1,21300,3300,190,20,20,43211,45214,0,23370242,8828,6.97171148600115E+016,
882,6.97171158979052E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,4357,6.97171148600115E+016,
881,6.97171156696302E+016,2304,,1,4,-1,21300,3300,190,20,20,43211,45214,0,23370242,2751,6.97171148600115E+016,
880,6.97171155253461E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,2829,6.97171148600115E+016,
879,6.97171153772347E+016,2304,,1,4,-1,21300,3300,190,20,20,43211,45214,0,23370242,9933,6.97171148600115E+016,
878,6.97171148565643E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,180610,6.9717114020823E+016,
877,6.97171053871366E+016,2304,,1,4,-1,21300,3300,190,20,20,43211,45214,0,23370242,23319,6.97171052148163E+016,
876,6.97171041641824E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,15725,6.97171040577782E+016,
875,6.97171033402638E+016,2304,,1,4,-1,21300,3300,190,20,20,43211,45214,0,23370242,63828,6.97171032186552E+016,
874,6.97170999938908E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,23340,6.97170999681352E+016,
873,6.97170987702026E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,19011,6.9717098606166E+016,
872,6.97170977731641E+016,2304,,1,4,-1,21300,3300,190,20,20,43211,45214,0,23370242,49611,6.97170976626442E+016,
871,6.97170951712277E+016,2304,,1,4,-1,21300,3300,444,20,20,43211,45214,0,23370754,12487,6.97170951442924E+016,
870,6.97170945178075E+016,2304,,1,4,-1,21300,3300,191,20,20,43211,45214,0,23370241,31916,6.97170944101581E+016,
869,6.97170928444375E+016,2304,,1,4,-1,21300,3300,445,20,20,43211,45214,0,23370755,3504,6.9717091265151E+016,
868,6.97170926607794E+016,2304,,1,4,-1,19423,1423,445,20,20,43211,45214,0,23370758,24322,6.9717091265151E+016,
867,6.97170913856061E+016,2304,,1,4,-1,19423,1423,445,20,20,43211,45214,0,23370758,36977,6.9717091265151E+016,
866,6.97170894463173E+016,2304,,1,4,-1,19423,1423,445,20,20,43211,45214,0,23370758,7129,6.97170893784351E+016,
865,6.97170890731291E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,9057,6.97170890639278E+016,
864,6.97170885982814E+016,2304,,1,4,-1,21102,3102,444,20,20,43211,45214,0,23370760,1855,6.97170885383291E+016,
863,6.97170885010784E+016,2304,,1,4,-1,21102,3102,191,20,20,43211,45214,0,23370247,15962,6.97170884347822E+016,
862,6.97170876640002E+016,2304,,1,4,-1,21102,3102,190,20,20,43211,45214,0,23370248,2558,6.97170875959214E+016,
861,6.97170875294679E+016,2304,,1,4,-1,21102,3102,191,20,20,43211,45214,0,23370247,41518,6.971708738483E+016,
860,6.97170853532009E+016,2304,,1,4,-1,21102,3102,190,20,20,43211,45214,0,23370248,13413,6.97170852874813E+016,
859,6.97170846500782E+016,2304,,1,4,-1,21102,3102,191,20,20,43211,45214,0,23370247,9357,6.97170845536092E+016,
858,6.97170841595019E+016,2304,,1,4,-1,21102,3102,190,20,20,43211,45214,0,23370248,3022,6.97170830866514E+016,
857,6.97170840008E+016,2304,,1,4,-1,21102,3102,189,20,20,43211,45214,0,23370249,6054,6.97170830866514E+016,
856,6.97170836834484E+016,2304,,1,4,-1,21102,3102,191,20,20,43211,45214,0,23370247,44875,6.97170830866514E+016,
855,6.97170813308109E+016,2304,,1,4,-1,21102,3102,190,20,20,43211,45214,0,23370248,4323,6.97170813025649E+016,
854,6.97170811041612E+016,2304,,1,4,-1,21102,3102,444,20,20,43211,45214,0,23370760,3764,6.97170806734848E+016,
853,6.97170809068192E+016,2304,,1,4,-1,21102,3102,190,20,20,43211,45214,0,23370248,20692,6.97170806734848E+016,
852,6.97170798218576E+016,2304,,1,4,-1,21102,3102,444,20,20,43211,45214,0,23370760,16620,6.97170796268093E+016,
851,6.97170789507531E+016,2304,,1,4,-1,21102,3102,190,20,20,43211,45214,0,23370248,33041,6.97170788910367E+016,
850,6.97170772184531E+016,2304,,1,4,-1,21102,3102,444,20,20,43211,45214,0,23370760,7362,6.97170771083264E+016,
849,6.97170768322101E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,32369,6.97170766903378E+016,
848,6.9717075135352E+016,2304,,1,4,-1,21102,3102,446,20,20,43211,45214,0,23370759,4590,6.9717075116032E+016,
847,6.97170748947563E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,39210,6.97170748013937E+016,
846,6.97170728386036E+016,2304,,1,4,-1,21102,3102,445,20,20,43211,45214,0,23370761,33213,6.9717072811393E+016,
845,6.97170710976528E+016,2304,,1,4,-1,21102,3102,444,20,20,43211,45214,0,23370760,14202,6.97170710268478E+016,
844,6.97170703531114E+016,2304,,1,4,-1,21102,3102,191,20,20,43211,45214,0,23370247,18945,6.97170702929101E+016,
